,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Story_Id,Title,Abstract
80,80,5.0,0.9991000294685364,"Tier, Frau, Wald, Auge, Haus, Vater, alt, mein, Mutter, Freund",307,Der geheime Wald,"Der geheime Wald*
 
Tim und Bine waren schon mal vorgegangen. Typisch. So war es eigentlich immer. Und Ramona mußte sich ihren Weg dann irgendwie allein suchen. Aber sie war ja selbst auf die Idee gekommen. Na super!

Anfangs gibt es noch Zeichen der beiden: Blätter auf dem Boden oder Pfeile aus Zweigen. Doch dann hören sie plötzlich auf. Da hört Ramona ein Geräusch...

"
81,81,19.0,0.9212999939918518,"Hand, Schule, mein, Frau, Kind, Mutter, alt, Erde, Tier, Papa",308,Die mutige Marie,"Marie ist ein zurückhaltendes Mädchen, in schlabberiger Seemannskleidung. Sie liebt Opa’s alte Geschichten und verbringt jede freie Minute bei ihrer kleinen Jolle.
Wäre da nicht Henry aus ihrer Schule. Er hat nichts Besseres zu tun, als Marie ununterbrochen zu ärgern. Als er behauptet, sie könne nicht einmal anständig segeln, macht sich Marie auf den Weg hinaus aufs weite Meer.
Bei ihrer Reise wird sie mit ganz anderen Problemen konfrontiert. Die Meeresbewohner sind durch den Müll in ihren Gewässern in Not geraten und die alte Pirateninsel aus Opas Geschichten, ist längst kein Paradies mehr ...

"
82,82,8.0,0.9991000294685364,"Auge, Vater, Mutter, Eltern, Tier, Welt, Kind, Haus, alt, Erde",310,Die außergewöhnlichen Spaziergänge des Eddi E.,"Die seltsamen Spaziergänge des Eddi E.

Von Michael Rosenhäger 
 
Was kann man gegen das Artensterben und den Klimawandel unternehmen? So lautete die Aufgabe, mit der Eddi E. von seiner Lehrerin in die Ferien geschickt wurde"
83,83,8.0,0.7390999794006348,"Auge, Vater, Mutter, Eltern, Tier, Welt, Kind, Haus, alt, Erde",315,Dominosteine,"Dominosteine
 
Klara besitzt eine besondere Fähigkeit, aber sie weiß noch nicht ganz, wie sie sie für das Gute nutzen kann. Wird sie einen Lehrer finden und die Welt verändern können?"
84,84,18.0,0.9718000292778015,"Baum, Frau, Haus, Tier, Auge, mein, Wald, Mama, Kind, Wasser",316,Klimawandel," 
Klimawandel 


Ich heiße Sand Ninja und bin die Superheldin des Klimas, ich möchte dir zeigen wie du auch eine Superheldin oder Superheld werden kannst.
Wenn du versuchst mitzuhelfen das Klima besse"
85,85,5.0,0.9704999923706055,"Tier, Frau, Wald, Auge, Haus, Vater, alt, mein, Mutter, Freund",319,Professor Grün sieht grün,"
In Jannes Haus wohnt Professor Grün, der sich mit verrückten Experimenten und Neuentwicklungen um Umweltfragen sorgt. ""Langweilig"" findet Janne, bis er sich eines Tages auf eine allesverändernde Reise durch die Zeit begibt. Begleitet wird er von seinem besten Freund Leo und Matti, dem besonderen Hund des Professors. "
86,86,7.0,0.9660000205039978,"Erde, Kind, Auge, Vater, Hand, Mutter, Haus, Wasser, Schule, Mama",320,Die Klimabohne,"Bei der Demonstration gegen die Laufzeitverlängerung eines Braunkohlewerks findet Tarik einen grünen nierenförmigen Stein. Der passt perfekt in seine Sammlung. Zuhause platziert er ihn prominent auf den Rand eines Blumentopfes. 
Tarik muss sich mehrfach vergewissern nicht zu träumen, als er am nächsten Morgen aufwacht. Um ihn herum ist ein Urwald. Sein Zimmer ist komplett zugewachsen. Ist das die Rettung gegen den Klimawandel?"
87,87,18.0,0.6590999960899353,"Baum, Frau, Haus, Tier, Auge, mein, Wald, Mama, Kind, Wasser",321,Waldzeit,"Er gab einen lauten Tarzanschrei von sich, während er einen Moment lang an der Liane in der Luft schwebte. Dann ließ er los und tauchte laut platschend in das Wasser ein. Als er wieder auftauchte, wischte er sich die Tropfen aus dem Gesicht und grinste seine Freunde an, denen der Lärm natürlich nicht entgangen war."
88,88,5.0,0.9398999810218811,"Tier, Frau, Wald, Auge, Haus, Vater, alt, mein, Mutter, Freund",323,Jadavs Wald - Ein Junge pflanzt weiter,"Mal reißen die Fluten Teile der Insel fort, dann spülen sie Tiere an, die auf den Sandbänken der Sonne ausgeliefert sind. Der fünfzehnjährige Jadav weiß: Pflanzen könnten Schutz bieten und den Boden mit ihren Wurzeln zusammenhalten. Als er sieht, wie Schlangen in der Hitze sterben, wächst in  ihm der Wunsch, etwas zu tun. Entdecke mit Jadav, wie kleine Samenkörner eine große Veränderung bewirken! "
89,89,8.0,0.5396000146865845,"Auge, Vater, Mutter, Eltern, Tier, Welt, Kind, Haus, alt, Erde",325,Ein Herz für Kojoten,"Lisa ist unglücklich. Mit ihren Eltern musste sie in ein karges Kaff in den USA umziehen. Sie hat keine Freunde, die Wüstensonne brennt erbarmungslos und sie vermisst Deutschland.
Als sie ein angefahrenes Kojotenbaby findet, ändert sich das schlagartig. Mit ihrem neuen Freund Jack setzt sie alle Hebel in Bewegung, um nicht nur ihren Schützling, sondern auch die anderen Wildtiere zu schützen, die durch die Zivilisation gefährdet sind."
90,90,17.0,0.6037999987602234,"Hand, Kopf, Erde, Auge, Kind, Frau, Mutter, alt, Wald, Tier",326,Wie ich die Welt rettete,"Sammy, ein Waisenkind aus den Slums kann nichts für die Umwelt tun. Eines Tages erhält er von Mutter Natur den brisanten Auftrag die Welt zu retten. Er bekommt von ihr Superkräfte und seine Welt ändert sich. Mit der Unterstützung seiner Freunde macht er sich an die Arbeit."
91,91,8.0,0.9876000285148621,"Auge, Vater, Mutter, Eltern, Tier, Welt, Kind, Haus, alt, Erde",329,Hof des Friedens,"237 089 ist ein Ferkel, das noch nie das Licht der Welt erblickt hat. Er kennt nur die Enge der Box, in der er mit seiner Mutter und seinen acht Geschwistern lebt. Als er nun zusammen mit seiner Familie von zwei Menschen aus der Halle in der diese Box steht abgeholt wird, beginnt für ihn eine Reise voller neuer Erfahrungen und Denkanstöße. Dabei lernt er auch das Mädchen Charlotte kennen, deren Wissensdurst ihm erschreckende Einblicke  in die Welt der Menschen gewährt."
92,92,8.0,0.9987999796867371,"Auge, Vater, Mutter, Eltern, Tier, Welt, Kind, Haus, alt, Erde",330,Nalu,"„Voll der Öko“, hört Fynn einen seiner Mitschüler hinter sich flüstern, nachdem Nalu sich der Klasse vorgestellt hat. Nalu ist tatsächlich anders, denn er weiß sehr viel – vor allem über den Klimawandel. 
Fynns Neugierde an dem schüchternen Jungen ist geweckt, doch er kann nicht ahnen, dass Nalu seinen Blick auf die Welt für immer verändern wird. 	"
93,93,8.0,0.9990000128746033,"Auge, Vater, Mutter, Eltern, Tier, Welt, Kind, Haus, alt, Erde",331,Philippa,"Als Philippas Zimmer eines Abends von einer Flutwelle überschwemmt wird, rettet sie sich in einen magischen Turm. Eine Wendeltreppe führt sie in eine Bibliothek, in der Kinder in den Regalen sitzen, in eine Schule mit eigenen Lehrerterminals und zu Enten, die Mensch ärgere Dich nicht spielen."
94,94,12.0,0.9990000128746033,"Auge, Erde, Hand, Baum, Schule, Welt, Eltern, Papa, Wasser, Frau",332,"Weniger ist mehr. Eine Kurzgeschichte über Freundschaft, Zero Waste und Miteinander leben.","Lina kommt in die 5. Klasse. Ein großer Schritt, wie Opa Peter sagt. In der Grundschule war es kein Problem, dass Lina keine Pferdekarten sammelt und, dass sie ihre Geburtstagsmuffins in einer Metallform mitbringt. Aber was, wenn der große Schritt bedeutet, dass sie alles nun nochmal erklären muss? Besonders, als Lina Paula kennen lernt, wird es auf einmal schwierig, dazu zu stehen, dass sie und ihre Mama "" Zero Waste"" leben. Aber mit Amy und Onur an ihrer Seite kann sie zeigen: Weniger ist eigentlich mehr. "
95,95,17.0,0.7964000105857849,"Hand, Kopf, Erde, Auge, Kind, Frau, Mutter, alt, Wald, Tier",333,"Was wäre, wenn ... ","Livs Welt gerät aus den Fugen. Bei einer unfreiwilligen fridays-for-future Demo trifft sie auf Nick. Er haut sie im wahrsten Sinne des Wortes um und löst einen gemeinsamen, kreativen Gedankensturm aus. ""Was wäre, wenn?"" In dem jungen Klimaaktivisten lodert eine Idee auf, wie er Menschen zum Klimaschutz inspirieren kann, die sich nicht mehr löschen lässt und durch Livs freche Art noch mehr befeuert wird. Liv findet ständig ein aber, doch die Idee, die mit einem verführerischen Deal beginnt und online geradezu explodiert, verändert ihr Leben ... "
96,96,8.0,0.9987999796867371,"Auge, Vater, Mutter, Eltern, Tier, Welt, Kind, Haus, alt, Erde",334,Hauptsache die Kohle stimmt,"Wenn Kims Vater zuhause ist, sind sie beste Freunde. Leider sehen sie sich so selten. Und dann hört Kim auch noch dieses Gespräch mit, in dem sein Vater sich über Kinder aufregt, die gegen ihn und seine Arbeit protestieren. 
Als Kim ihn zur Rede stellt, kommt es zum Streit. Kim läuft davon. Als er nicht mehr weiß wohin, findet er unerwartete Hilfe. Mit Arundhati taucht er ein in eine Welt, die neben seiner existiert und für ihn doch lange unsichtbar war, obwohl sie eng miteinander verknüpft sind. "
97,97,11.0,0.6521000266075134,"Auge, Welt, Haus, Baum, Hand, Erde, Frau, Eltern, Luft, alt",336,Rauchzeichen,"Um die Zukunft zu schreiben, lohnt sich ein Blick in die Vergangenheit.
Anna und Lukas lebten ums Jahr 1900 im Ruhrgebiet, als Millionen Tonnen Kohle aus den Tiefen der Erde zu Tage befördert, in den Fabriköfen verbrannt und aus den Schornsteinen als Millionen Tonnen Abgase in die Luft geschleudert wurden. Die Umweltverschmutzung nahm ihren Anfang.
Diese Geschichte erzählt, wie zwei Kinder den Kampf aufnahmen und mit Mut und List zu den ersten Umweltschützern wurden. Ob ihr Kampf von Erfolg gekrönt ist? "
98,98,0.0,0.8418999910354614,"Auge, Mutter, Kind, Baum, Kopf, Vater, Hand, Wasser, Frau, Welt",340,Mit dem Bienentaxi nach Italien,"Klimawandel, Klimawandel, Klimawandel! Überall hört Antonia dieses Wort. Als sie versteht, dass die Menschen die Erderwärmung selbst produzieren, will sie auf keinen Fall mit dem Flugzeug nach Sizilien fliegen. Ihre Mutter und ihr Freund lassen sich auf das Auto ein. Antonia hat eine Idee, wie sie auch während der Fahrt der Umwelt helfen können. Ihr Auto wird dabei zum Bienentaxi und Insektenmobil. "
99,99,0.0,0.8569999933242798,"Auge, Mutter, Kind, Baum, Kopf, Vater, Hand, Wasser, Frau, Welt",341,Traumreise,"Die schüchterne Stella ist seit ihrem Wechsel auf das Gymnasium leider nicht mehr so gut in der Schule. Als ihre Klassenkameradin Lucy ihr von einer Reise nach Australien vorschwärmt, möchte sie auch unbedingt eine solche unternehmen. Allerdings ist ihre Mutter von dieser Idee überhaupt nicht begeistert. Diese ist nicht nur teuer, sondern zudem auch noch extrem klimaschädlich. Da erlebt Stella etwas, mit dem sie nie gerechnet hätte ..."
100,100,8.0,0.8597999811172485,"Auge, Vater, Mutter, Eltern, Tier, Welt, Kind, Haus, alt, Erde",344,Das Virus,"Seit eintausend und neunzig Tagen hat Mia nun nicht mehr das Haus verlassen. Durch die steigende Erdtemperatur ist nämlich ein Virus mutiert, das alle Menschen krank macht. Anfangs war die Quarantäne noch ziemlich spannend, aber jetzt findet Mia es alleine mit ihrem Vater in der Wohnung einfach nur noch langweilig. 
Doch an diesem Nachmittag stehen plötzlich zwei Zeitreisende des Intertemporären Zentrums in ihrem Zimmer. Mia hilft Herrn Heit und Frau Kunft einen alten Streit zu lösen und gemeinsam beginnen sie den Kampf gegen das Virus."
101,101,11.0,0.9987999796867371,"Auge, Welt, Haus, Baum, Hand, Erde, Frau, Eltern, Luft, alt",347,Rettung durch Kriminelle,"Man sagt ja, stehlen sei schlecht. Aber genau das hat in meinem Fall Jimmy und mich zu Helden gemacht. Du fragst dich, wie das geht? Dann lies mein Tagebuch. (Es ist aus der Zukunft.)"
102,102,17.0,0.9624000191688538,"Hand, Kopf, Erde, Auge, Kind, Frau, Mutter, alt, Wald, Tier",348,Silburn,"Silburn

Die Astronautenfreunde Ben und Paul reisen zum Planeten Silburn. Ihre Landefähre wird zerstört. Auf der Suche nach Hilfe geraten sie in Abenteuer. Sie  entdecken auf diesem Zauberplaneten wundersame Wesen und finden  einen Kompass, mit dessen Hilfe sie die Herzen der Menschen erreichen und die Erde retten."
103,103,17.0,0.9991000294685364,"Hand, Kopf, Erde, Auge, Kind, Frau, Mutter, alt, Wald, Tier",350,Paulas Planet A,"Wir schreiben das Jahr 2050. Alles hat geklappt. Das 1,5-Grad-Limit der Pariser Klimarahmenkonvention wird eingehalten. Natur und Menschen erholen sich von der Zeit, in der alles immer dreckiger, heißer und toter wurde. Dass jetzt niemand mehr CO2 mehr ausstößt, es mehr Wildtiere als Stalltiere gibt, überall Bäume wachsen und Menschen solidarisch mit sich und ihrer Mitwelt umgehen, ist auch Paula und ihren Freunden zu verdanken. 
Nachdem die Zwölfjährige 2019 zum ersten Mal bei einer Klimademo ihr selbstgemaltes Schild ""Es gibt keinen Planet B"" hochhielt, hat sie mit ihren Freunden von der Zukunftsbande viel verändert. Was und wie genau, das erzählt der 150 Jahre alte Hain Buche."
104,104,12.0,0.9336000084877014,"Auge, Erde, Hand, Baum, Schule, Welt, Eltern, Papa, Wasser, Frau",353,Windspiele,"Eigentlich wollte Christian mit seinem Bruder Oskar und anderen Kindern nur Fußball spielen. Doch als ein Fremder auftaucht und den Kindern ein Windspiel schenkt, ändert sich alles: Mitten in der Nacht verschwinden die Kinder auf mysteriöse Weise. Nur Christian kann ihre Spur aufnehmen, die in ein altes Fabrikgebäude führt. Er deckt dort nicht nur das Rätsel der Windspiele auf, sondern kommt einem dubiosen Erfinder auf die Spur, der eine Art Superkunststoff herstellen will. Eine große Gefahr für die Umwelt droht.  Wird es Christian gelingen, dem Kerl das Handwerk zu legen und die Kinder aus seinen Fängen zu befreien? "
105,105,11.0,0.9990000128746033,"Auge, Welt, Haus, Baum, Hand, Erde, Frau, Eltern, Luft, alt",358,"Elijah, Elisabeth und die neun Welten  ","Elijah, Elisabeth und die neun Welten





Prolog





Ein kleines Mädchen saß am Fenster und starrte hinaus in das Schneegestöber, das vom Himmel fiel. Sie sah darin Figuren: kleine Feen, Drachen, Ko"
106,106,12.0,0.5565999746322632,"Auge, Erde, Hand, Baum, Schule, Welt, Eltern, Papa, Wasser, Frau",359,Rote Erde,"Hannah wächst mit ihrer Familie auf einem roten Planeten auf. Ihre Eltern erzählen ihr von ihrer eigentlichen Heimat, der Erde. Hannah liebt ihr Zuhause und kann nicht verstehen, wie die Menschen dabei zusehen konnten, wie die Erde kaputt geht.  
Als auch ihr Planet bedroht wird, setzt Hannah sich für ihre Heimat ein."
107,107,12.0,0.8784999847412109,"Auge, Erde, Hand, Baum, Schule, Welt, Eltern, Papa, Wasser, Frau",360,Mara geht auf Reisen,"Noch an diesem Morgen hatte sie sich mit ihren 10 Jahren groß und stark gefühlt, doch jetzt musste sie einsehen, dass sie in der neuen Schule die Kleinste war.

Als Mara in die neue Schule kommt, hört sie von dem Klimawandel. Zunächst weiß sie gar nicht, was dieser Wandel sein soll, bis er sie sogar bis in ihre Traumwelt verfolgt..."
108,108,17.0,0.7785000205039978,"Hand, Kopf, Erde, Auge, Kind, Frau, Mutter, alt, Wald, Tier",361,Das letzte Eichhörnchen,"Lilly findet ein einsames Eichhörnchen-Baby. Es stellt sich heraus, dass Eichhörnchen zu ihren Lebzeiten ausgestorben sind und sie das letzte Exemplar gefunden hat.
Mit ihrer Freundin Flora und ihrem Bruder Fabio stellt sie sich der Herausforderung, ein geeignetes Zuhause für ihr kleines Findelkind zu finden. Doch das ist gar nicht so einfach, denn viele Menschen interessieren sich gar nicht mehr für die Natur um sie herum oder für die Tiere.
Und selbst, als sie Hilfe bei einem Umweltschützer finden, bleibt Lilly misstrauisch. Er bietet ihnen Hilfe an, aber etwas stimmt nicht. Will er wirklich das gleiche wie sie oder ist ihm am Ende vielleicht etwas ganz andere wichtig?"
109,109,6.0,0.5623000264167786,"Auge, Tier, Mutter, Hand, Erde, Baum, Kind, Kopf, Eltern, Haus",362,Ein Flügelschlag für's Klima,"Hi, ich bin Fly und habe es satt. Warum kümmern wir Fliegen uns immer nur um den Mist anderer? Ich interessiere mich viel mehr für ihr Wohlergehen. Auf meiner Wohlfühl-Mission entdecke ich das Bild einen weißen Bären. Wieso schaut er bloß so traurig? Ich muss ihn finden. Begleitest du mich auf der abenteuerlichen Suche nach ihm, die mich um die ganze Welt führen wird?"
110,110,0.0,0.9944999814033508,"Auge, Mutter, Kind, Baum, Kopf, Vater, Hand, Wasser, Frau, Welt",364,Henni und ich,"Zwei Freunde gehen an einem ganz normalen Tag einfach mal woanders lang. Dadurch verändert sich ihr bisheriges Leben. Sie treffen auf Menschen und Tiere, die ihnen die Welt von einer gänzlich anderen Seite zeigen. Sie lernen die Kraft der Gemeinschaft kennen und wie es istTeil von etwas Größerem zu sein. Von einer Gemeinschaft, die umdenkt und macht... rethink&do"
111,111,1.0,0.654699981212616,"Vater, Mutter, Hand, Papa, Erde, Wasser, alt, Freund, Kopf, mein",365,Die Wahrheit der Antarktis,"Es war ein ganz normaler Samstagnachmittag in Perth, genauer gesagt 5 Uhr 16. Zu diesen Zeitpunkt wusste Mathias noch nicht, dass in Kürze eine Flutwelle seine Stadt heimsucht und sein Leben verändern wird. Später erlebt er ein atemberaubendes und spektakuläres Abenteuer sowohl auf See als auch auf der Antarktis wo er das riesige Ausmaß des Klimawandels auf die Antarktis kennen lernen wird....

"
112,112,5.0,0.9243000149726868,"Tier, Frau, Wald, Auge, Haus, Vater, alt, mein, Mutter, Freund",366,Das Internat,"Rouvens Eltern hatten die Nase voll und steckten ihn in ein Internat, damit er endlich Leistung bringt und wird wie sein Vater. Sie ahnten nicht, wie sehr dieses Internat das Leben der Familie verändern würde und vielleicht auch das der ganzen Welt. "
113,113,19.0,0.9990000128746033,"Hand, Schule, mein, Frau, Kind, Mutter, alt, Erde, Tier, Papa",367,"Freundschaft mit Eis, Meer, Wind und Wald ","Ella folgt einem ergreifenden Jammern und trifft auf vier Gestalten: Eis, Meer, Wind und Wald. Die vier sind geschwächt. Durch Mitgefühl und Respekt gewinnt Ella ihr Vertrauen. Zusammen mit ihrem Bruder Lot und dessen Freund Kai baut Ella Klimawerkstätten für Eis, Meer, Wind und Wald auf. Niemals hätten sie sich aber gedacht, gegen die habsüchtigsten Menschen der Erde ankämpfen zu müssen: Herr und Frau Klump zerstören die Hilfsorganisation…"
114,114,11.0,0.9990000128746033,"Auge, Welt, Haus, Baum, Hand, Erde, Frau, Eltern, Luft, alt",369,Der Känguru-Mann,"Als Bruno im Unterricht davon hört, dass die Eisbären an den Folgen des Klimawandels sterben werden, beschließt er zu handeln. Zum Glück weiß er, dass es sich bei seinem Nachbarn Karl Müller in Wirklichkeit um einen Superhelden handelt. Selbst wenn seine Mutter den Kontakt strengstens verboten hat, beschließt Bruno seinen Nachbarn zu besuchen. Die Welt braucht die Hilfe eines Superhelden.
Leider ist der Nachbar tatsächlich ein Schluckspecht, wie Brunos Mutter immer behauptet.
Also muss Bruno das Problem alleine lösen..."
115,115,7.0,0.9988999962806702,"Erde, Kind, Auge, Vater, Hand, Mutter, Haus, Wasser, Schule, Mama",370,Zeitreise,Alice lebt auf dem Mars. Gemeinsam mit Jacob und Professor Knoblauch will sie die Erde retten. Sie begeben sich auf eine spannende Zeitreise in die Vergangenheit. Dabei nehmen sie an einer Klimakonferenz in NEW YORK teil. 
116,116,10.0,0.9988999962806702,"Auge, Wasser, Baum, Kopf, Frau, Mutter, Erde, alt, Tier, Haus",371,"Lucio, Zora und die Lichterzwerge","Als Lucio und Zora herausfinden, wie sie in ihrem Baumhaus Glühbirnen zum leuchten bringen, sind sie begeistert: Wer hätte gedacht, dass die Lichterzwerge, die klitzekleine Goldstückchen verbrennen, so viel Licht machen können? Doch als sie noch eine weitere Glühbirne anbringen wollen, wird die ganze Stadt dunkel! ""Weil wir so viel Gold verbrennen mussten, du komischer Knallkopf!"", grummelt ein Lichterzwerg als Antwort. Doch zum Glück haben fantasievolle Lucio und die handwerkende Zora eine Idee, wie sie das Licht zurück ins Dorf bringen können."
117,117,1.0,0.7741000056266785,"Vater, Mutter, Hand, Papa, Erde, Wasser, alt, Freund, Kopf, mein",374,Malik und das Tseotswo,"Das war der letzte Apfel aus dem eigenen Garten, den Maliks Oma für den leckeren Pfannkuchen verwendet hat! 
Im vergangenen Jahr war die Ernte einfach nicht so gut gewesen: Wegen der Hitze und den Bienen - und das CO-Tswo hilft auch nicht, sagt die Oma. 
Malik aber mag Omas Pfannkuchen - mit den Äpfeln aus dem Garten. 
Darum beschließt er, tätig zu werden - und schreibt dem Tseotswo einfach einen Brief.
Alles beginnt sich zu ändern, als Malik eine Antwort bekommt. "
118,118,6.0,0.9990000128746033,"Auge, Tier, Mutter, Hand, Erde, Baum, Kind, Kopf, Eltern, Haus",375,Die Biene,"Mark ist ein Junge, der zufällig eine Biene in seiner Reisetasche findet. Er ist sehr aufgeregt, denn Bienen sind seit Jahren in Deutschland ausgestorben."
119,119,18.0,0.6820999979972839,"Baum, Frau, Haus, Tier, Auge, mein, Wald, Mama, Kind, Wasser",378,Der Indianer Adahy,"Willi hat mit Klimaschutz nicht viel am Hut. Umweltkatastrophen kennt er nur aus den Nachrichten, die passieren doch immer nur irgendwo ganz weit weg. 
Bis eines Nachts der Indianer Adahy in seinem Zimmer steht und ihm die Natur in einer Form zeigt, die Willi noch nie gesehen hat. Kann er Willi damit überzeugen, mehr für den Umweltschutz zu tun?"
120,120,17.0,0.9988999962806702,"Hand, Kopf, Erde, Auge, Kind, Frau, Mutter, alt, Wald, Tier",379,Nachricht ins All,"Eine Nachricht von seltsamem Inhalt trifft in Akadien ein. Doch ist sie überhaupt an das akadische Volk gerichtet? Schreibt hier nicht ein Erden-Junge einfach an seinen Vater?

Fema das Oberhaupt vom Planeten Akadien liest ihren Bürgern diesen Brief vor, um zu beraten, was damit anzufangen ist. Von der Erde, von Menschen, Klimawandel, Dinosauriern und Zukunftsforschern berichtet Thomas in seinem Schreiben und die Akadier werden dadurch an ihre eigene Vergangenheit erinnert, an ihren alten Heimat-Planeten, den sie einst verlassen mussten, weil sie keine Rücksicht auf seine Natur genommen hatten und er dadurch unbewohnbar wurde.

Können sie Thomas helfen, damit seinem Planeten und den Menschen nicht das Gleiche wiederfährt?"
121,121,18.0,0.8626000285148621,"Baum, Frau, Haus, Tier, Auge, mein, Wald, Mama, Kind, Wasser",380,Lotte und die Rettung der Falknerei,"Jede Ferien besucht Lotte die Falknerei ihrer Tante. Dann heißt es die Vögel füttern, pflegen und trainieren. Doch dieses Mal ist alles anders. Die Flugshows müssen ausfallen, Lotte schlägt sich mit einem ungebetenen Gast herum und dann sind da noch die Besucher, die nächste Woche vor der Tür stehen! Lotte muss alles geben, um die Falknerei ihrer Tante zu retten."
122,122,17.0,0.9987999796867371,"Hand, Kopf, Erde, Auge, Kind, Frau, Mutter, alt, Wald, Tier",381,Schnee. Ein modernes Märchen.,"Die beiden Schwestern Anna und Maria treffen auf Frau Holle. Anders als früher kann die alte Dame nun kein Wetter mehr machen: Sie leidet unter der Hitze auf der Welt und muss in einer Wüste leben.

Während die ältere Anna wenig mit der verrückten Frau anfangen kann, gewinnt Maria ihr Herz. Zusammen mit Frau Holle kann sie es sogar in der Wüste schneien lassen.

Als die beiden Schwestern sich ihre Erlebnisse erzählen, können sie es kaum glauben."
123,123,10.0,0.8339999914169312,"Auge, Wasser, Baum, Kopf, Frau, Mutter, Erde, alt, Tier, Haus",382,Spürst du sie?,"Wie so oft streitet sich Sara mit ihrer Schwester über den Umweltschutz. Doch diesmal ist es anders. Denn als Sara einen geheimnisvollen Stein berührt, reist sie in die Zukunft und erfährt von einer Welt, an deren Entstehung sie nicht unschuldig ist."
124,124,19.0,0.6150000095367432,"Hand, Schule, mein, Frau, Kind, Mutter, alt, Erde, Tier, Papa",383,Klassenausflug,"Die sechste Klasse von Marlon soll einen Schlachthof besuchen. Dazu hat eigentlich keiner Lust. Aber die Lehrerin, Frau Lauterbach, findet, sie sollen lernen, wo ihr Essen herkommt. Und was CO2-Bilanz bedeutet. Die Eltern sind anderer Meinung. Sie wollen Frau Lauterbach abmahnen lassen. "
125,125,1.0,0.9990000128746033,"Vater, Mutter, Hand, Papa, Erde, Wasser, alt, Freund, Kopf, mein",384,"Grumpi, Lumpi und der Wetterfrosch","Klatsch…
 
Flatsch…
 
„Ach du liebe Feit, waff ift denn daf?“, rief Lumpi und wischte sich einen großen Klecks Matsch von seiner riesigen Nase. 
 
Als er nach oben schaute, sah er dass es angefangen h"
126,126,19.0,0.9990000128746033,"Hand, Schule, mein, Frau, Kind, Mutter, alt, Erde, Tier, Papa",387,Das Meer will nicht mehr,"Alle aus Peppers Klasse finden Emily seltsam. Sie redet immer davon, wie wir angeblich die Meere mit Plastik zerstören. Pepper glaubt ihr nicht, bis er die Folgen mit eigenen Augen sieht.  
Zusammen wollen die beiden etwas verändern. Aber kann man zu zweit überhaupt etwas erreichen, noch dazu mit Schmetterlingen im Bauch?
"
127,127,5.0,0.9966999888420105,"Tier, Frau, Wald, Auge, Haus, Vater, alt, mein, Mutter, Freund",390,Lara und Neustart Klimakrise,"Als Lara mit ihrer Freundin Chuan chattet ist klar , “ Das Virus betrifft den ganzen Planeten und stoppt an den Grenzen genauso wenig  wie die Erderwärmung!“ Die Welt und Menschheit steht vor einem grossen Problem. Ausnahmezustand und Klimawandel erfordern nicht nur besondere Ideen. Ihr Mut ihre Freunde und ihre besondere Beziehung zu ihrer Großmutter und deren Naturliebe, helfen ihr mit einer phantastischen Zeitreise sich den extremen Herausforderungen entgegenzustellen."
128,128,19.0,0.9470000267028809,"Hand, Schule, mein, Frau, Kind, Mutter, alt, Erde, Tier, Papa",391,Klara will nicht pupsen,"Klara pupst das Klima kaputt! Mit diesem gefährlichen Halbwissen wird die elfjährige Kuh Klara von ihren Mitschülern, allen voran Max von Pfau geärgert. Ein erster Nichtpupsversuch bleibt erfolglos. Und auch die Erwachsenen sind keine große Hilfe, da sie null Peil vom Klimawandel haben. Deshalb beschließen Klara und ihr bester Freund Kater Leon auf eigene Faust nach Lösungen zu suchen."
129,129,12.0,0.9503999948501587,"Auge, Erde, Hand, Baum, Schule, Welt, Eltern, Papa, Wasser, Frau",392,Feuer und Eis,"Sakura und Jamiro sind ganz unterschiedlich! Sakura ist frech und mutig, während Jamiro ängstlich und schüchtern ist. Doch eine Sache haben sie gemeinsam: Sie wollen ihren Ländern helfen! Sakura wohnt am Nordpol in einem wisschenschaftlichen Gebäude bei ihrem Vater. Jeden Tag muss sie mit ansehen, wie das Eis immer weiter schmilzt und die Eisbären hungern. Genauso hilflos fühlt sich Jamiro, der in Brasilien in der Nähe des brennenden Amazonas wohnt. Was können sie tun? Doch dann ändert sich schlagartig alles!  Die beiden finden sich auf Youtube und nehmen Kontakt auf. Beide sind geschockt vom Umweltzustand des anderen. Doch schnell fassen sie einen Plan. Aber wird dieser Plan klappen oder müssen sie hilflos zusehen wie ihre Welt immer mehr zerbricht?                                                                                                                                                                                                            
"
130,130,12.0,0.9991999864578247,"Auge, Erde, Hand, Baum, Schule, Welt, Eltern, Papa, Wasser, Frau",393,Wüstenblumen,"Die Sommerferien 2060 verbringt Maya bei ihrem Opa in der Wüste, während ihre Eltern neue Wege zur Bekämpfung der Folgen des Klimawandels erforschen. Doch dann kommen ihre Eltern früher als geplant zurück – mit großen Neuigkeiten! Maya erfährt viel darüber, wie die Welt so geworden ist, wie sie heute ist und auf welche Weise die Menschheit das Schlimmste verhindern konnte."
