,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Story_Id,Title,Abstract
21,21,11.0,0.9988999962806702,"Auge, Welt, Haus, Baum, Hand, Erde, Frau, Eltern, Luft, alt",125,Lucio und der Planet B,"Es gibt keinen Planet B. Oder? Lucio hat eine Mission: Seine eigene Welt hat durch den Klimawandel großen Schaden genommen. Jetzt liegt es an ihm, die Parallelerde zu retten und seine Heimat zu unterstützen. "
22,22,11.0,0.5946999788284302,"Auge, Welt, Haus, Baum, Hand, Erde, Frau, Eltern, Luft, alt",131,Wildbienenfieber,"Der elfjährige Mats, ein talentfreier Hobbyzauberer, träumt insgeheim davon, wenigstens seine Freundin Pauline einmal mit einem Zaubertrick beeindrucken zu können. 

Als Paulines Eltern – beide Wissenschaftler – zeitgleich beruflich verreist sind um sich unter anderem über Folgen des Klimawandels auszutauschen, die ihr jeweiliges Forschungsgebiet betreffen, leistet Mats seiner Freundin selbstverständlich Gesellschaft. 
Der ursprüngliche Plan der beiden, eine Wildbienennisthilfe für den Garten zu bauen, gerät jedoch schnell ins Hintertreffen, als Mats ganz unbeabsichtigt die Sensation gelingt: ein waschechter Zauber, der Pauline plötzlich sechs Beine und zwei Paar Flügel beschert …
"
23,23,17.0,0.7734000086784363,"Hand, Kopf, Erde, Auge, Kind, Frau, Mutter, alt, Wald, Tier",132,Was die Welt im Innersten zusammenhält,"Umweltkatastrophen, Schnelllebigkeit und ein zunehmender Egoismus in der Gesellschaft: All das scheint unsere heutige Zeit zu prägen. In diesen ganzen Turbulenzen kehrt man viel zu selten zu den Fragen zurück: Was ist der Mensch eigentlich? Was ist Zeit? Und was macht der Mensch mit der Zeit und der einzigen Erde, die ihm noch bleibt?
Die beiden jungen Erwachsenen Amina und Felix begegnen sich auf einer Zugfahrt und diskutieren über die Fragen des Lebens. Aber was ist diese eine Kraft, die die Welt im Innersten zusammenhält? Um auf Goethe zu antworten stellt Amina eine gewagte These in den Raum: Der Mensch ist von Grund auf gut. 
Mit naivem Leichtsinn tauchen Amina und Felix ein in eine abstrakte Welt der Physik. Von Quantenphysik bis Magnetismus begibt sich der Leser auf eine kurze Reise durch die Zeit. 
Bleibt die Menschheit bloß ein Wimpernschlag in der Erdgeschichte und sprängt sich selbst in die Luft oder gibt es noch Hoffnung?
Amina und Felix sind sich einig: Gemeinsam können wir alles schaffen! Denn ja: Der Mensch ist auch gut. Wir haben es in der Hand!
Die Geschichte lässt den Leser mit vielen offenen Fragen zurück. Sie soll zum Nachdenken und Handeln anregen."
24,24,9.0,0.5871000289916992,"Frau, Eltern, Baum, Vater, alt, Auge, Hand, mein, Mama, Mutter",138,"Kai, Kim und die Steinwüsten","Die Zwillinge Kai und Kim ärgern sich über die Steinwüsten in ihrem Wohnviertel. Alle Vorgärten sind einbetoniert oder voller Steine. Nur in ihrem eigenen Vorgarten wachsen noch grüne Pflanzen und Blumen. 
Die Zwillinge beschließen aktiv zu werden und räumen in einer ""Nights for future""-Aktion die Steine aus dem Vorgarten der Nachbarin weg. Natürlich gibt das ein Heidentheater, aber schließlich schaffen die Beiden es, das gesamte Viertel wieder zu einer blühenden Oase zu machen, so dass das Aufheizen der Wohngegend durch die Erderwärmung verhindert wird und das Regenwasser wieder durchsickern kann."
25,25,12.0,0.963100016117096,"Auge, Erde, Hand, Baum, Schule, Welt, Eltern, Papa, Wasser, Frau",139,Der dicke Baum,"Der dicke Baum ist Lebensraum und Zufluchtsort für viele, verschiedene Tiere. Als der Bussard Achim ankommt und in den Ästen sein Nest bauen will, gibt es Aufregung. Rita, das Eichhörnchen, fühlt sich bedrängt und fordert vom Baumrat eine Entscheidung. Da Achim sein altes Zuhause verloren hat, darf er bleiben. Die Eule Hermine, Vorsitzende des Rates, ist von Achims Geschichte, der über die Zerstörung des Waldes und der Landschaft berichtet, tief betroffen und sorgt sich um den eigenen Baum. Bald darauf droht dem dicken Baum tatsächlich ein ähnliches Schicksal. Aber die Baumbewohner wollen ihren Lebensraum verteidigen und schmieden einen Plan.  "
26,26,0.0,0.9990000128746033,"Auge, Mutter, Kind, Baum, Kopf, Vater, Hand, Wasser, Frau, Welt",140,Luftwege,"Ein Virus hat das bewirkt, was zahlreiche Klimaschützer nicht konnten - der internationale Flugverkehr wurde fast komplett eingestellt. Leonore hat die letzten zwei Jahre aus Angst vor dem Virus zuhause verbracht und ihre Freunde nur online getroffen. Das stillgelegte Flugfeld neben ihrem Wohnort war der einzige Ort, an dem sie draußen sein konnte und über die Monate konnte sie beobachten, wie sich die Natur den Platz zurückeroberte. Seit einigen Monaten scheint die Gefahr des Virus gebannt und so etwas wie Normalität scheint in das Leben der Menschen einzukehren. Die Kinder gehen wieder in die Schule, die Erwachsenen in die Arbeit und Pläne beginnen, alles wieder so zu machen wie es vorher war - auch das Flugfeld soll wiederhergestellt und ausgebaut werden um den Flugverkehr wieder anzukurbeln.
Doch Leonore merkt jetzt schon, wie die Luftqualität wieder schlechter wird, und als sie Paul trifft, dessen Asthma plötzlich wieder zurück ist, weiß sie, dass sie etwas unternehmen muss.
Gemeinsam mit den anderen Kindern in ihrer Umgebung versucht Leonore zu verhindern, dass alles genauso wird wie es früher war und setzt sich für ein Naturschutzgebiet an Stelle des alten Flughafens ein..."
27,27,12.0,0.9990000128746033,"Auge, Erde, Hand, Baum, Schule, Welt, Eltern, Papa, Wasser, Frau",142,Paco,"Während Paco in den bolivianischen Anden auf seine Vikunjaherde aufpasst, reißt ein Erdrutsch einige der Tiere in den Tod. Sein Lehrer erkennt schnell die Ursache: die Abholzung und den Verbiss der Tiere. Mit seiner Hilfe wollen die Schüler durch Baumpflanzungen solchen Unglücken zukünftig entgegenwirken.  Ein von terre des hommes unterstütztes Projekt."
28,28,0.0,0.9990000128746033,"Auge, Mutter, Kind, Baum, Kopf, Vater, Hand, Wasser, Frau, Welt",177,"Emma, die Trostweide","Fast jeden Tag besucht Anni ihre Freundin Emma. Emma ist eine Trauerweide, von Anni jedoch liebevoll Trostweide genannt.
Denn mit ihren zauberhaften Geschichten entführt sie Anni aus dem Schulalltag und bringt sie auf andere Gedanken - vor allem, wenn Anni mal wieder von Yannick geärgert wurde...
Er macht sich ständig darüber lustig, dass sie Müll sammelt, mit Trinkflaschen und Brotdosen zur Schule kommt und im Sommer die Bäume gießt.
Und dass ihre Mutter verhindern will, dass Yannicks Vater den letzten Wald des Ortes abholzt, um dort einen Golfplatz zu bauen, verbessert das Verhältnis zwischen Anni und Yannick auch nicht gerade.
Was sie dann allerdings eines Tages auf dem Heimweg mit ihm erlebt, hätte sie in ihren schlimmsten Träumen nicht befürchtet..."
29,29,12.0,0.9988999962806702,"Auge, Erde, Hand, Baum, Schule, Welt, Eltern, Papa, Wasser, Frau",180,Mias Gedankenchaos,"
Mia ist vierzehn Jahre alt und hat tausend Gefühle im Herzen. Wie bekommt man das Chaos in den Griff? Hilft es, alles aufzuschreiben oder ist es moderner seinen eigenen Blogg zu haben? Wieso erwartet anscheinend jeder, dass man immer gute Laune hat? In Mias Lieblingsphantasie geht die Erde einfach mit einem großen Knall unter. Ob das die Lösung ist?
"
30,30,11.0,0.4097999930381775,"Auge, Welt, Haus, Baum, Hand, Erde, Frau, Eltern, Luft, alt",185,Emi Ökotante vs. Lotte Klimaschreck,"Die beiden Siebtklässlerinnen Emi Oberlande und Lotte Kirmaschek sind wie Feuer und Wasser. Während Emi schon von kleinauf versucht, die Welt zu retten, sind Lotte Umwelt- und Klimaschutz völlig egal. Sie ist sich selbst am nächsten und macht sich tagtäglich einen Spaß daraus, ""Ökotante"" Emi mit ihrem Umwelttick aufzuziehen. Doch das taffe Mädchen lässt sich davon nicht vom Kurs abbringen und bietet ihrer Rivalin, die sie insgeheim ""Lotte Klimaschreck"" nennt, immer wieder die Stirn. Unbeeindruckt zieht sie ihr persönliches Klima-Rettungsprogramm durch, das sie akribisch in ihren Klima-Tagebüchern dokumentiert. Eines Tages kreuzen sich Emis und Lottes Wege und plötzlich versteht selbst die sonst so egoistische Lotte, dass ein bisschen Weitsicht und Nachhaltigkeit nicht schaden kann. Denn Emi hat sie und viele andere mit einem ganz speziellen Virus angesteckt, der beweist, dass jeder einzelne von uns ein Klimaheld sein kann.   "
